restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,124,550,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup)-Grande,,90,,0.1,,0.0,,0.0,21.0,,0.0,,5,,0,,21.0,0.3,0.0,0.0,0.0,0.0
3000,124,551,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup)-Venti,,130,,0.1,,0.0,,0.0,31.0,,0.0,,5,,0,,31.0,0.4,0.0,0.0,0.0,0.0
3000,124,552,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Tall Nonfat Milk,,80,,0.1,,0.0,,0.0,18.0,,0.0,,25,,0,,18.0,2.0,2.0,0.0,6.0,0.0
3000,124,553,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Tall  2% Milk,,90,,1,,0.0,,0.5,18.0,,5.0,,25,,0,,18.0,2.0,2.0,0.0,6.0,0.0
3000,124,554,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Tall Soymilk,,80,,1,,0.0,,0.1,17.0,,0.0,,20,,0,,17.0,2.0,2.0,0.0,6.0,0.0
3000,124,555,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Grande Nonfat Milk,,110,,0.1,,0.0,,0.0,24.0,,0.0,,30,,0,,24.0,2.0,4.0,0.0,8.0,2.0
3000,124,556,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Grande 2% Milk,,120,,1.5,,0.0,,0.5,24.0,,5.0,,35,,0,,24.0,2.0,4.0,0.0,8.0,0.0
3000,124,557,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Grande Soymilk,,110,,1,,0.0,,0.1,23.0,,0.0,,30,,0,,22.0,2.0,2.0,0.0,8.0,0.0
3000,124,558,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Venti Nonfat Milk,,160,,0.1,,0.0,,0.1,36.0,,0.0,,50,,0,,36.0,4.0,6.0,0.0,10.0,4.0
3000,124,559,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Venti  2% Milk,,180,,2,,0.1,,1.0,36.0,,10.0,,55,,0,,36.0,4.0,6.0,0.0,10.0,0.0
3000,124,560,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup)-Venti  Soymilk,,170,,1.5,,0.0,,0.2,34.0,,0.0,,45,,0,,33.0,3.0,4.0,0.0,10.0,0.0
3000,124,561,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup)-Tall,,60,,0,,0.0,,0.0,15.0,,0.0,,0,,0,,15.0,0.0,0.0,0.0,0.0,6.0
3000,124,562,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup)-Grande,,80,,0,,0.0,,0.0,21.0,,0.0,,0,,0,,21.0,0.0,0.0,0.0,0.0,0.0
3000,124,563,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup)-Venti,,120,,0,,0.0,,0.0,31.0,,0.0,,0,,0,,31.0,0.0,0.0,0.0,0.0,0.0
3000,124,564,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Tall,,100,,0,,0.0,,0.0,25.0,,0.0,,0,,0,,24.0,0.1,0.0,10.0,0.0,0.0
3000,124,565,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Grande,,130,,0,,0.0,,0.0,33.0,,0.0,,0,,0,,33.0,0.1,0.0,15.0,0.0,0.0
3000,124,566,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)-Venti,,190,,0,,0.0,,0.0,49.0,,0.0,,0,,0,,49.0,0.1,0.0,20.0,0.0,0.0
3000,125,567,Smoothies,Banana Chocolate Smoothie-Grande Nonfat Milk,,280,,2.5,,0.0,,1.5,53.0,,5.0,,150,,7,,34.0,20.0,10.0,15.0,20.0,0.0
3000,125,568,Smoothies,Banana Chocolate Smoothie-Grande 2% Milk,,300,,5,,0.1,,2.5,53.0,,15.0,,160,,7,,34.0,20.0,8.0,15.0,20.0,20.0
3000,125,569,Smoothies,Banana Chocolate Smoothie-Grande Soymilk,,290,,4.5,,0.0,,1.5,51.0,,5.0,,150,,7,,31.0,19.0,6.0,15.0,20.0,20.0
3000,125,570,Smoothies,Orange Mango Banana Smoothie-Tall Nonfat Milk,,260,,1,,0.0,,0.3,54.0,,5.0,,120,,6,,37.0,16.0,50.0,80.0,10.0,30.0
3000,125,571,Smoothies,Orange Mango Banana Smoothie-Tall 2% Milk,,270,,1.5,,0.0,,0.5,53.0,,5.0,,125,,6,,37.0,16.0,50.0,80.0,10.0,6.0
3000,125,572,Smoothies,Orange Mango Banana Smoothie-Tall Soymilk,,270,,1.5,,0.0,,0.4,53.0,,5.0,,120,,6,,36.0,15.0,50.0,80.0,10.0,6.0
3000,125,573,Smoothies,Strawberry Banana Smoothie-Grande Nonfat Milk,,290,,1,,0.0,,0.3,58.0,,5.0,,125,,7,,41.0,16.0,4.0,100.0,10.0,8.0
3000,125,574,Smoothies,Strawberry Banana Smoothie-Grande 2% Milk,,290,,2,,0.0,,1.0,58.0,,5.0,,125,,7,,41.0,16.0,4.0,100.0,10.0,8.0
3000,125,575,Smoothies,Strawberry Banana Smoothie-Grande Soymilk,,290,,2,,0.0,,0.4,58.0,,5.0,,120,,8,,40.0,16.0,2.0,100.0,10.0,8.0
